| slit |                    name | obj_id | maskdef_id |  objname |     objra |   objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | maskdef_extract | wv_rms |
|  459 | SPAT0455-SLIT0459-DET01 |    455 |         27 |    BX681 | 356.56475 | 12.83155 |       454.9 |        0.454 |      2.00 |    0.754 |   0.00 |            True |  0.149 |
|  584 | SPAT0595-SLIT0584-DET01 |    595 |         22 |    BX659 | 356.56980 | 12.82930 |       595.2 |        0.603 |      2.00 |    0.754 |  -0.03 |            True |  0.073 |
|  687 | SPAT0688-SLIT0687-DET01 |    688 |         31 |   fBX127 | 356.57005 | 12.80698 |       687.8 |        0.503 |      2.00 |    0.754 |  -0.04 |            True |  0.067 |
|  787 | SPAT0769-SLIT0787-DET01 |    769 |         24 |    BX512 | 356.57345 | 12.80901 |       769.0 |        0.327 |      2.00 |    0.754 |  -0.02 |            True |  0.134 |
|  919 | SPAT0924-SLIT0919-DET01 |    924 |         15 |    BX418 | 356.57738 | 12.79649 |       923.5 |        0.529 |      3.00 |    1.958 |   0.32 |           False |  0.088 |
| 1083 | SPAT1101-SLIT1083-DET01 |   1101 |          4 |    BM118 | 356.58423 | 12.79518 |      1101.3 |        0.681 |      2.00 |    0.754 |  -0.04 |            True |  0.110 |
| 1177 | SPAT1176-SLIT1177-DET01 |   1176 |          2 |     MD43 | 356.58526 | 12.78243 |      1175.7 |        0.444 |      2.00 |    0.754 |   0.17 |            True |  0.144 |
| 1177 | SPAT1202-SLIT1177-DET01 |   1202 |          2 | SERENDIP | 356.58629 | 12.78231 |      1202.0 |        0.828 |      3.00 |    1.453 |   0.59 |           False |  0.144 |
| 1252 | SPAT1249-SLIT1252-DET01 |   1249 |         20 |    BX665 | 356.59507 | 12.82987 |      1249.0 |        0.493 |      2.00 |    0.754 |  -0.03 |            True |  0.078 |
| 1343 | SPAT1335-SLIT1343-DET01 |   1335 |          3 |    BM113 | 356.59263 | 12.79030 |      1335.5 |        0.406 |      2.00 |    0.754 |   0.04 |            True |  0.114 |
| 1450 | SPAT1447-SLIT1450-DET01 |   1447 |         11 |     MD41 | 356.59539 | 12.77951 |      1446.9 |        0.454 |      2.00 |    0.754 |  -0.04 |            True |  0.107 |
| 1553 | SPAT1563-SLIT1553-DET01 |   1563 |         18 |     fC23 | 356.60705 | 12.82827 |      1563.4 |        0.618 |      2.00 |    0.754 |   0.00 |            True |  0.137 |
| 1668 | SPAT1638-SLIT1668-DET01 |   1638 |          1 |    RK120 | 356.60933 | 12.82396 |      1637.6 |        0.248 |      2.00 |    0.754 |   0.11 |            True |  0.037 |
| 1668 | SPAT1688-SLIT1668-DET01 |   1688 |          1 | SERENDIP | 356.61129 | 12.82371 |      1688.4 |        0.648 |      3.00 |    0.699 |   4.24 |           False |  0.037 |
| 1814 | SPAT1809-SLIT1814-DET01 |   1809 |         19 |   fBX165 | 356.61638 | 12.82670 |      1809.3 |        0.439 |      2.00 |    0.754 |  -0.04 |            True |  0.053 |
| 1902 | SPAT1907-SLIT1902-DET01 |   1907 |         16 |    BX348 | 356.61434 | 12.78645 |      1907.5 |        0.548 |      2.00 |    0.754 |   0.02 |            True |  0.118 |
| 2000 | SPAT1977-SLIT2000-DET01 |   1977 |         14 |    BX587 | 356.62156 | 12.81759 |      1976.8 |        0.278 |      2.00 |    0.754 |   0.05 |            True |  0.088 |
| 2127 | SPAT2137-SLIT2127-DET01 |   2137 |         13 |    BX336 | 356.62303 | 12.78466 |      2137.4 |        0.564 |      2.00 |    0.754 |  -0.04 |            True |  0.116 |
| 2245 | SPAT2251-SLIT2245-DET01 |   2251 |         10 |    BX628 | 356.63321 | 12.82426 |      2251.2 |        0.573 |      2.00 |    0.754 |  -0.12 |            True |  0.060 |
| 2337 | SPAT2335-SLIT2337-DET01 |   2335 |         12 |    fBM47 | 356.63625 | 12.82238 |      2335.0 |        0.463 |      3.00 |    0.697 | 205.86 |           False |  0.040 |
| 2425 | SPAT2422-SLIT2425-DET01 |   2422 |          0 |    fBM40 | 356.63730 | 12.80677 |      2421.7 |        0.461 |      2.00 |    0.754 |  -0.05 |            True |  0.055 |
| 2524 | SPAT2515-SLIT2524-DET01 |   2515 |         21 |    BX308 | 356.63686 | 12.77869 |      2514.5 |        0.402 |      2.00 |    0.754 |  -0.07 |            True |  0.122 |
| 2644 | SPAT2642-SLIT2644-DET01 |   2642 |         17 |    BX523 | 356.64639 | 12.81045 |      2642.0 |        0.485 |      2.00 |    0.754 |   0.01 |            True |  0.122 |
| 2782 | SPAT2772-SLIT2782-DET01 |   2772 |         30 |    BX637 | 356.65365 | 12.82559 |      2772.1 |        0.429 |      2.00 |    0.754 |   0.08 |            True |  0.075 |
| 2945 | SPAT2938-SLIT2945-DET01 |   2938 |         29 |    BX675 | 356.66072 | 12.83034 |      2937.5 |        0.424 |      2.00 |    0.754 |  -0.00 |            True |  0.069 |
