| slit |                    name | obj_id | maskdef_id | objname |     objra |   objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | maskdef_extract | wv_rms |
|  459 | SPAT0460-SLIT0459-DET01 |    460 |         27 |   BX681 | 356.56475 | 12.83155 |       460.3 |        0.485 |      2.00 |    1.211 |  0.09 |            True |  0.149 |
|  584 | SPAT0601-SLIT0584-DET01 |    601 |         22 |   BX659 | 356.56980 | 12.82930 |       600.7 |        0.639 |      3.00 |    2.076 |  0.19 |           False |  0.073 |
|  687 | SPAT0693-SLIT0687-DET01 |    693 |         31 |  fBX127 | 356.57005 | 12.80698 |       693.1 |        0.553 |      2.00 |    1.211 | -0.58 |            True |  0.067 |
|  787 | SPAT0774-SLIT0787-DET01 |    774 |         24 |   BX512 | 356.57345 | 12.80901 |       773.8 |        0.361 |      3.00 |    1.251 |  0.37 |           False |  0.134 |
|  919 | SPAT0924-SLIT0919-DET01 |    924 |         15 |   BX418 | 356.57738 | 12.79649 |       923.8 |        0.520 |      3.00 |    1.093 |  0.73 |           False |  0.088 |
| 1083 | SPAT1105-SLIT1083-DET01 |   1105 |          4 |   BM118 | 356.58423 | 12.79518 |      1105.3 |        0.706 |      3.00 |    1.216 |  0.25 |           False |  0.110 |
| 1177 | SPAT1182-SLIT1177-DET01 |   1182 |          2 |    MD43 | 356.58526 | 12.78243 |      1182.1 |        0.517 |      3.00 |    1.230 |  0.44 |           False |  0.144 |
| 1252 | SPAT1254-SLIT1252-DET01 |   1254 |         20 |   BX665 | 356.59507 | 12.82987 |      1254.4 |        0.543 |      2.00 |    1.211 |  0.08 |            True |  0.078 |
| 1343 | SPAT1340-SLIT1343-DET01 |   1340 |          3 |   BM113 | 356.59263 | 12.79030 |      1339.6 |        0.434 |      3.00 |    1.593 |  0.38 |           False |  0.114 |
| 1450 | SPAT1453-SLIT1450-DET01 |   1453 |         11 |    MD41 | 356.59539 | 12.77951 |      1453.2 |        0.498 |      3.00 |    0.756 |  0.37 |           False |  0.107 |
| 1553 | SPAT1569-SLIT1553-DET01 |   1569 |         18 |    fC23 | 356.60705 | 12.82827 |      1568.7 |        0.661 |      2.00 |    1.211 |  0.06 |            True |  0.137 |
| 1668 | SPAT1643-SLIT1668-DET01 |   1643 |          1 |   RK120 | 356.60933 | 12.82396 |      1643.1 |        0.277 |      3.00 |    1.095 |  0.28 |           False |  0.037 |
| 1814 | SPAT1815-SLIT1814-DET01 |   1815 |         19 |  fBX165 | 356.61638 | 12.82670 |      1814.6 |        0.486 |      2.00 |    1.211 |  0.16 |            True |  0.053 |
| 1902 | SPAT1913-SLIT1902-DET01 |   1913 |         16 |   BX348 | 356.61434 | 12.78645 |      1912.8 |        0.599 |      3.00 |    0.997 |  0.32 |           False |  0.118 |
| 2000 | SPAT1982-SLIT2000-DET01 |   1982 |         14 |   BX587 | 356.62156 | 12.81759 |      1982.4 |        0.315 |      3.00 |    0.970 |  0.70 |           False |  0.088 |
| 2127 | SPAT2145-SLIT2127-DET01 |   2145 |         13 |   BX336 | 356.62303 | 12.78466 |      2144.8 |        0.610 |      3.00 |    1.318 |  0.47 |           False |  0.116 |
| 2245 | SPAT2256-SLIT2245-DET01 |   2256 |         10 |   BX628 | 356.63321 | 12.82426 |      2256.1 |        0.609 |      3.00 |    1.211 |  0.37 |           False |  0.060 |
| 2337 | SPAT2341-SLIT2337-DET01 |   2341 |         12 |   fBM47 | 356.63625 | 12.82238 |      2341.5 |        0.535 |      2.00 |    1.211 |  0.14 |            True |  0.040 |
| 2425 | SPAT2427-SLIT2425-DET01 |   2427 |          0 |   fBM40 | 356.63730 | 12.80677 |      2427.0 |        0.508 |      2.00 |    1.211 |  0.15 |            True |  0.055 |
| 2524 | SPAT2520-SLIT2524-DET01 |   2520 |         21 |   BX308 | 356.63686 | 12.77869 |      2519.9 |        0.439 |      2.00 |    1.211 | -1.88 |            True |  0.122 |
| 2644 | SPAT2647-SLIT2644-DET01 |   2647 |         17 |   BX523 | 356.64639 | 12.81045 |      2647.4 |        0.516 |      3.00 |    1.202 |  0.32 |           False |  0.122 |
| 2782 | SPAT2778-SLIT2782-DET01 |   2778 |         30 |   BX637 | 356.65365 | 12.82559 |      2778.4 |        0.459 |      3.00 |    1.251 |  1.66 |           False |  0.075 |
| 2945 | SPAT2943-SLIT2945-DET01 |   2943 |         29 |   BX675 | 356.66072 | 12.83034 |      2942.9 |        0.461 |      2.00 |    1.211 |  0.11 |            True |  0.069 |
| 3058 | SPAT3069-SLIT3058-DET01 |   3069 |         25 |   BX575 | 356.66356 | 12.81614 |      3068.7 |        0.586 |      2.00 |    1.211 |  0.16 |            True |  0.080 |
| 3383 | SPAT3415-SLIT3383-DET01 |   3415 |         23 |   BX595 | 356.67731 | 12.81898 |      3415.1 |        0.692 |      3.00 |    1.817 |  0.39 |           False |  0.046 |
| 3511 | SPAT3523-SLIT3511-DET01 |   3523 |         28 |   BX532 | 356.68041 | 12.81134 |      3523.2 |        0.604 |      3.00 |    1.060 |  0.20 |           False |  0.069 |
| 3634 | SPAT3595-SLIT3634-DET01 |   3595 |         26 |   BX454 | 356.68175 | 12.80134 |      3595.2 |        0.228 |      3.00 |    0.848 |  0.14 |           False |  0.059 |
