| slit |                    name | obj_id | maskdef_id |  objname |     objra |   objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | maskdef_extract | wv_rms |
|  459 | SPAT0458-SLIT0459-DET01 |    458 |         27 |    BX681 | 356.56475 | 12.83155 |       458.4 |        0.470 |      2.00 |    1.012 |  0.07 |            True |  0.149 |
|  584 | SPAT0597-SLIT0584-DET01 |    597 |         22 |    BX659 | 356.56980 | 12.82930 |       597.5 |        0.614 |      3.00 |    1.721 |  0.22 |           False |  0.073 |
|  687 | SPAT0691-SLIT0687-DET01 |    691 |         31 |   fBX127 | 356.57005 | 12.80698 |       691.3 |        0.530 |      2.00 |    1.012 |  0.20 |            True |  0.067 |
|  687 | SPAT0719-SLIT0687-DET01 |    719 |         31 | SERENDIP | 356.57119 | 12.80684 |       719.2 |        0.908 |      3.00 |    1.626 |  3.72 |           False |  0.067 |
|  787 | SPAT0772-SLIT0787-DET01 |    772 |         24 |    BX512 | 356.57345 | 12.80901 |       772.0 |        0.345 |      3.00 |    1.069 |  0.35 |           False |  0.134 |
|  919 | SPAT0922-SLIT0919-DET01 |    922 |         15 |    BX418 | 356.57738 | 12.79649 |       921.6 |        0.505 |      3.00 |    0.961 |  0.83 |           False |  0.088 |
| 1083 | SPAT1103-SLIT1083-DET01 |   1103 |          4 |    BM118 | 356.58423 | 12.79518 |      1102.6 |        0.680 |      3.00 |    1.086 |  0.32 |           False |  0.110 |
| 1177 | SPAT1179-SLIT1177-DET01 |   1179 |          2 |     MD43 | 356.58526 | 12.78243 |      1179.3 |        0.476 |      3.00 |    0.953 |  0.38 |           False |  0.144 |
| 1252 | SPAT1252-SLIT1252-DET01 |   1252 |         20 |    BX665 | 356.59507 | 12.82987 |      1252.5 |        0.519 |      2.00 |    1.012 |  0.16 |            True |  0.078 |
| 1343 | SPAT1337-SLIT1343-DET01 |   1337 |          3 |    BM113 | 356.59263 | 12.79030 |      1337.4 |        0.412 |      3.00 |    1.375 |  0.27 |           False |  0.114 |
| 1450 | SPAT1451-SLIT1450-DET01 |   1451 |         11 |     MD41 | 356.59539 | 12.77951 |      1450.9 |        0.480 |      3.00 |    0.944 |  0.36 |           False |  0.107 |
| 1553 | SPAT1567-SLIT1553-DET01 |   1567 |         18 |     fC23 | 356.60705 | 12.82827 |      1566.9 |        0.641 |      2.00 |    1.012 |  0.07 |            True |  0.137 |
| 1668 | SPAT1640-SLIT1668-DET01 |   1640 |          1 |    RK120 | 356.60933 | 12.82396 |      1640.4 |        0.260 |      3.00 |    0.836 |  0.24 |           False |  0.037 |
| 1814 | SPAT1812-SLIT1814-DET01 |   1812 |         19 |   fBX165 | 356.61638 | 12.82670 |      1811.6 |        0.452 |      3.00 |    1.170 |  0.25 |           False |  0.053 |
| 1902 | SPAT1911-SLIT1902-DET01 |   1911 |         16 |    BX348 | 356.61434 | 12.78645 |      1910.6 |        0.567 |      3.00 |    0.882 |  0.44 |           False |  0.118 |
| 2000 | SPAT1981-SLIT2000-DET01 |   1981 |         14 |    BX587 | 356.62156 | 12.81759 |      1980.6 |        0.299 |      3.00 |    0.921 |  0.84 |           False |  0.088 |
| 2127 | SPAT2143-SLIT2127-DET01 |   2143 |         13 |    BX336 | 356.62303 | 12.78466 |      2142.7 |        0.594 |      3.00 |    1.181 |  0.44 |           False |  0.116 |
| 2245 | SPAT2254-SLIT2245-DET01 |   2254 |         10 |    BX628 | 356.63321 | 12.82426 |      2254.1 |        0.588 |      3.00 |    0.962 |  0.49 |           False |  0.060 |
| 2337 | SPAT2340-SLIT2337-DET01 |   2340 |         12 |    fBM47 | 356.63625 | 12.82238 |      2339.6 |        0.511 |      2.00 |    1.012 |  0.13 |            True |  0.040 |
